item,completed,in_progress,planned,qualifier,evidence,data_status
Repository structure and packaging,YES,,,,"aedt/ package, pyproject.toml, configs/, scripts/, tests/",SYNTHETIC
Configuration system,YES,,,,aedt/config.py + 6 YAML configs; deviations from frozen detected,SYNTHETIC
Canonical schemas,YES,,,,aedt/schemas.py - 15 typed dataclasses with validation,SYNTHETIC
Synthetic dataset ingestion,YES,,,,"aedt/io/synthetic.py, aedt/simulate/ - frozen generative model",SYNTHETIC
Preprocessing + missingness ledger,YES,,,,aedt/preprocess/clean.py; outcome never imputed,SYNTHETIC
Temporal alignment (causal),YES,,,,aedt/alignment/align.py; leakage assertion + test,SYNTHETIC
Feature extraction interface,YES,,,,aedt/features/ - 7 extractors behind one interface,SYNTHETIC
Context representation (3 forms),YES,,,,aedt/contexts/ + aedt/hypergraph/structure.py,SYNTHETIC
TwinState + persistence,YES,,,,aedt/twin/state.py; JSON round-trip test,SYNTHETIC
Continual knowledge store,YES,,,,"aedt/knowledge/store.py; append-only, causality-checked",SYNTHETIC
Hypergraph / context layer,YES,,,,"aedt/hypergraph/ - built, visualised, ablated",SYNTHETIC
Ordinal probit model,YES,,,,aedt/models/ordinal.py - ported + known-answer test,SYNTHETIC
Slope-ratio estimator (rho*),YES,,,,aedt/estimators/slope_ratio.py - ported + known-answer tests,SYNTHETIC
Eligibility screen,YES,,,,aedt/audit/eligibility.py - frozen thresholds,SYNTHETIC
Placebo framework,YES,,,,aedt/inference/placebo.py - gates the primary; exit code 5,SYNTHETIC
Uncertainty (participant bootstrap),YES,,,,aedt/inference/bootstrap.py - resampling unit asserted,SYNTHETIC
Bias envelope,YES,,,,aedt/audit/envelope.py - 9 enumerated scenarios,SYNTHETIC
Dataset audit framework,YES,,,,aedt/io/base.py + per-adapter audit(); every mandated field,SYNTHETIC
StudentLife adapter,YES,,,fixture-tested only,aedt/io/studentlife.py - passes on a StudentLife-shaped fixture; NEVER RUN ON THE REAL ARCHIVE,SYNTHETIC
PMData adapter,YES,,,fixture-tested only,aedt/io/pmdata.py - passes on a PMData-shaped fixture; NEVER RUN ON THE REAL ARCHIVE,SYNTHETIC
RELAX adapter,YES,,,fixture-tested only,"aedt/io/relax.py - layout is a DECLARED EXPECTATION, unverified",SYNTHETIC
WESAD adapter,YES,,,benchmark only,aedt/io/wesad.py - refuses the primary analysis by construction; NEVER RUN ON THE REAL ARCHIVE,SYNTHETIC
Epoch 1 vs Epoch 2 visualisation,YES,,,,aedt/viz/curves.py - the two-curve plot,SYNTHETIC
Figure / table generation pipeline,YES,,,,"aedt/viz/, aedt/reporting/tables.py - every artefact stamped",SYNTHETIC
End-to-end synthetic demo,YES,,,,scripts/run_demo.py --dataset synthetic - 9 stages,SYNTHETIC
Baselines,YES,,,,aedt/baselines/ - 6 pre-specified baselines,SYNTHETIC
Hypergraph ablation (Ablation 1),YES,,,synthetic,aedt/hypergraph/ablation.py - run on synthetic data; result reported whichever way it falls,SYNTHETIC
Test suite,YES,,,,"tests/unit, integration, synthetic, regression",SYNTHETIC
Controlled synthetic simulations,YES,,,,Historical: 13 misspecification scenarios (Rounds 14-15),SYNTHETIC
Realistic synthetic simulation gate,YES,,,,"Historical: G1/G2/G3, power and placebo at realistic density",SYNTHETIC
REAL-DATA ACQUISITION,,,YES,,No dataset file has been opened by this project. Adapters and acquisition instructions are ready; the download is one person-hour,PLANNED
REAL-DATA AUDIT (T4 on real files),,,YES,,scripts/audit_dataset.py is written and fixture-tested; blocked only on the files,PLANNED
REAL-DATA primary rho* estimate,,,YES,,"Gated behind the audit, [9b] association check, eligibility and the placebo, in that order",PLANNED
Cross-dataset pooling,,,YES,,Requires two audited real cohorts,PLANNED
Ablations 2-7,,,YES,,Only Ablation 1 (context representation) is implemented and run,PLANNED
Manuscript,,YES,,,Theory and simulation sections are supported; the empirical section has no evidence yet,SYNTHETIC
Patent,,,YES,position RED,No concrete novel mechanism found. No drafting undertaken.,PLANNED
